iso3,country,adult_obesity_1999,adult_obesity_2000,adult_obesity_2001,adult_obesity_2002,adult_obesity_2003,adult_obesity_2004,adult_obesity_2005,adult_obesity_2006,adult_obesity_2007,adult_obesity_2008,adult_obesity_2009,adult_obesity_2010,adult_obesity_2011,adult_obesity_2012,adult_obesity_2013,adult_obesity_2014,adult_obesity_2015,adult_obesity_2016,adult_diabetes_1999,adult_diabetes_2000,adult_diabetes_2001,adult_diabetes_2002,adult_diabetes_2003,adult_diabetes_2004,adult_diabetes_2005,adult_diabetes_2006,adult_diabetes_2007,adult_diabetes_2008,adult_diabetes_2009,adult_diabetes_2010,adult_diabetes_2011,adult_diabetes_2012,adult_diabetes_2013,adult_diabetes_2014
CPV,Cabo Verde,2.67,2.85,3.04,3.23,3.43,3.64,3.86,4.09,4.33,4.57,4.83,5.09,5.36,5.64,5.93,6.24,6.56,6.89,6.41,6.67,6.93,7.17,7.40,7.63,7.85,8.04,8.22,8.39,8.53,8.65,8.76,8.87,8.97,9.06
CRI,Costa Rica,10.04,10.53,11.05,11.6,12.17,12.77,13.39,14.03,14.68,15.35,16.04,16.73,17.44,18.15,18.86,19.59,20.33,21.06,6.86,7.03,7.19,7.33,7.48,7.62,7.75,7.87,7.99,8.11,8.23,8.36,8.48,8.60,8.72,8.85
CUB,Cuba,10.87,11.26,11.66,12.07,12.49,12.92,13.36,13.81,14.27,14.74,15.21,15.7,16.21,16.72,17.25,17.8,18.36,18.94,6.64,6.66,6.67,6.69,6.70,6.70,6.71,6.73,6.75,6.79,6.84,6.93,7.03,7.11,7.20,7.29
CYP,Cyprus,14.62,15.05,15.48,15.9,16.32,16.74,17.15,17.57,17.98,18.39,18.8,19.22,19.64,20.06,20.49,20.93,21.39,21.85,6.80,6.94,7.07,7.20,7.32,7.44,7.55,7.65,7.75,7.83,7.92,7.99,8.06,8.14,8.21,8.28
CZE,Czechia,19.03,19.4,19.78,20.16,20.56,20.97,21.38,21.8,22.23,22.66,23.11,23.55,24.01,24.47,24.94,25.41,25.89,26.39,7.05,7.11,7.19,7.28,7.37,7.47,7.58,7.69,7.79,7.90,7.99,8.07,8.16,8.25,8.34,8.44
DEU,Germany,16.09,16.52,16.96,17.39,17.84,18.29,18.74,19.19,19.65,20.12,20.59,21.07,21.56,22.06,22.56,23.08,23.61,24.15,5.70,5.72,5.75,5.78,5.81,5.83,5.84,5.86,5.87,5.88,5.89,5.91,5.92,5.95,5.98,6.02
DJI,Djibouti,5.02,5.19,5.36,5.53,5.71,5.9,6.09,6.28,6.48,6.69,6.9,7.11,7.34,7.57,7.81,8.07,8.33,8.61,8.06,8.13,8.19,8.25,8.31,8.37,8.42,8.47,8.52,8.56,8.59,8.59,8.58,8.59,8.61,8.64
DMA,Dominica,11.27,11.67,12.09,12.51,12.95,13.4,13.86,14.34,14.83,15.34,15.87,16.41,16.96,17.53,18.11,18.71,19.32,19.95,6.49,6.61,6.73,6.85,6.98,7.10,7.22,7.36,7.50,7.64,7.77,7.90,8.05,8.19,8.33,8.48
DNK,Denmark,14.38,14.78,15.2,15.63,16.06,16.5,16.94,17.4,17.85,18.32,18.79,19.27,19.76,20.25,20.75,21.27,21.79,22.33,5.61,5.61,5.60,5.58,5.55,5.51,5.48,5.46,5.44,5.41,5.39,5.38,5.37,5.36,5.36,5.37
DOM,Dominican Republic,9.41,9.89,10.39,10.93,11.5,12.09,12.71,13.36,14.04,14.74,15.47,16.23,16.99,17.77,18.56,19.36,20.18,20.99,6.44,6.69,6.92,7.14,7.33,7.49,7.64,7.78,7.90,8.03,8.14,8.25,8.33,8.44,8.54,8.63
