country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Iran,9.9,10.35,10.8,11.27,11.76,12.25,12.77,13.29,13.83,14.38,14.94,15.52,16.11,16.72,17.34,17.97,18.62,19.27
Iraq,14.58,14.97,15.37,15.79,16.23,16.68,17.15,17.64,18.14,18.66,19.2,19.75,20.32,20.91,21.51,22.13,22.77,23.43
Iceland,15.9,16.36,16.81,17.27,17.74,18.21,18.68,19.15,19.63,20.11,20.59,21.08,21.58,22.08,22.6,23.13,23.66,24.21
Israel,18.43,18.85,19.27,19.69,20.11,20.54,20.97,21.4,21.83,22.26,22.7,23.14,23.58,24.03,24.48,24.94,25.41,25.89
Italy,13.64,14.01,14.38,14.75,15.12,15.5,15.88,16.25,16.63,17.01,17.39,17.78,18.16,18.54,18.93,19.33,19.73,20.13
Jamaica,7.49,7.84,8.2,8.57,8.95,9.35,9.76,10.18,10.62,11.07,11.53,12.01,12.51,13.02,13.56,14.11,14.69,15.29
Jordan,17.92,18.47,19.02,19.56,20.11,20.66,21.22,21.79,22.38,22.97,23.59,24.21,24.85,25.49,26.15,26.82,27.49,28.18
Japan,1.78,1.86,1.96,2.08,2.21,2.36,2.52,2.69,2.88,3.07,3.27,3.48,3.69,3.9,4.12,4.34,4.57,4.8
Kazakhstan,11.32,11.67,12.04,12.4,12.78,13.16,13.56,13.97,14.39,14.83,15.27,15.73,16.21,16.71,17.22,17.75,18.3,18.87
Kenya,1.08,1.15,1.22,1.29,1.36,1.44,1.53,1.62,1.71,1.81,1.92,2.03,2.14,2.27,2.4,2.54,2.69,2.84
Kyrgyzstan,7.38,7.63,7.91,8.2,8.51,8.83,9.17,9.53,9.9,10.3,10.7,11.12,11.56,12.02,12.5,12.99,13.51,14.05
Cambodia,0.81,0.87,0.94,1.02,1.09,1.18,1.26,1.36,1.46,1.56,1.67,1.79,1.92,2.06,2.21,2.37,2.54,2.72
Kiribati,28.25,29.21,30.13,31.03,31.89,32.72,33.53,34.3,35.05,35.78,36.5,37.22,37.93,38.65,39.37,40.1,40.83,41.56
Saint Kitts and Nevis,7.82,8.14,8.47,8.81,9.17,9.53,9.91,10.31,10.73,11.16,11.6,12.07,12.56,13.06,13.59,14.15,14.72,15.33
Republic of Korea,23.66,24.14,24.63,25.12,25.63,26.15,26.68,27.22,27.77,28.34,28.92,29.51,30.11,30.73,31.35,31.99,32.63,33.29
Kuwait,0.79,0.87,0.95,1.05,1.15,1.27,1.39,1.53,1.68,1.85,2.03,2.22,2.43,2.65,2.89,3.16,3.44,3.74
Lao People's Democratic Republic,18.07,18.56,19.05,19.54,20.04,20.54,21.06,21.58,22.11,22.65,23.21,23.78,24.36,24.95,25.55,26.16,26.79,27.43
Lebanon,2.63,2.69,2.77,2.87,2.98,3.12,3.26,3.42,3.58,3.76,3.94,4.13,4.33,4.54,4.76,4.99,5.23,5.49
Liberia,15.78,16.21,16.65,17.1,17.56,18.04,18.53,19.04,19.56,20.1,20.65,21.22,21.8,22.4,23.02,23.65,24.29,24.96
Libya,6.57,6.85,7.13,7.39,7.65,7.91,8.16,8.42,8.67,8.94,9.21,9.49,9.81,10.17,10.57,11.01,11.49,12.01
